les Escaldes	42.50729	1.53414	15853
Andorra la Vella	42.50779	1.52109	20430
Warīsān	25.16744	55.40708	108759
Umm Suqaym	25.15491	55.21015	16459
Umm Al Quwain City	25.56473	55.55517	59098
Ţarīf Kalbā	25.06950	56.33115	51000
Ar Rāshidīyah	25.22499	55.38947	38425
Ras Al Khaimah	25.78953	55.94320	351943
Zayed City	23.65416	53.70522	63482
Khawr Fakkān	25.33132	56.34199	40677
Kalbā	25.05130	56.35422	37545
Jumayrā	25.20795	55.24969	39080
Dubai	25.07725	55.30927	3790000
Dibba Al-Fujairah	25.59246	56.26176	30000
Dibba Al-Hisn	25.61955	56.27291	26395
Dayrah	25.27143	55.30207	400000
Sharjah	25.33420	55.41221	1800000
Ar Ruways	24.11028	52.73056	25000
Ḩattā	24.80073	56.12726	15324
Fujairah	25.11641	56.34141	118933
Al Ain City	24.19167	55.76056	846747
Ajman	25.40177	55.47878	490035
Adh Dhayd	25.28812	55.88157	20165
Abu Dhabi	24.45118	54.39696	1807000
Abū Hayl	25.28413	55.33153	18043
As Saţwah	25.22192	55.27459	40997
Al Ḩamīdīyah	25.40001	55.52925	27000
Al Waheda	25.29173	55.33822	21608
Al Karama	25.24004	55.30106	75560
Al Wasl	25.19881	55.25565	22153
The Palm Jumeirah	25.11607	55.13506	25500
Bur Dubai	25.26038	55.29891	18698
Khalifah A City	24.42588	54.60500	85374
Mirdif	25.22443	55.41412	60288
Hawr al ‘Anz	25.27744	55.33675	84661
Mankhūl	25.24612	55.29222	41244
Nāyf	25.27139	55.30323	53075
Al Murar al Qadīm	25.27576	55.30738	19831
Al Warqaa	25.19272	55.42013	59111
International City	25.16383	55.40987	120000
Dubai Marina	25.08525	55.14646	120000
Dubai Internet City	25.09538	55.16171	24000
Al Safa	25.17047	55.23336	15672
Ar Rumaylah	25.40338	55.43340	86000
Al Jurf	25.41814	55.50791	18000
Al Majaz	25.32354	55.38774	116503
Dubai Festival City	25.22177	55.35733	77000
Dubai International Financial Centre	25.21060	55.27787	36000
Dubai Investments Park	25.00827	55.15682	160000
Jebel Ali	25.00255	55.10811	210000
Bani Yas City	24.30978	54.62944	80498
Musaffah	24.35893	54.48267	243341
Al Shamkhah City	24.39268	54.70779	61710
Reef Al Fujairah City	25.14479	56.24764	82310
Al Bada'a	25.22462	55.26888	18816
Al Muteena	25.27375	55.32265	48739
Al Mizhar First	25.24805	55.44128	17498
Dubai Silicon Oasis	25.11985	55.38718	90000
Al Furjan	25.02651	55.14565	26000
Business Bay	25.18544	55.26969	191000
Al Qusais 1	25.27925	55.36995	48378
Halwan	25.34586	55.42165	19389
Al Sajaah	25.31532	55.63211	53079
Lahbab	25.03763	55.59135	53079
Mohammed Bin Zayed City	24.34794	54.55368	85000
Zaranj	30.95962	61.86037	49851
Bāzār-e Yakāwlang	34.73525	66.97379	65000
Taloqan	36.73605	69.53451	64256
Shīnḏanḏ	33.30294	62.14740	29264
Shibirghān	36.66757	65.75290	55641
Shahrak	34.10737	64.30520	15967
Sar-e Pul	36.21544	65.93249	52121
Sang-e Chārak	35.84972	66.43694	15377
Aībak	36.26468	68.01551	47823
Rustāq	37.12604	69.83045	25636
Qarqīn	37.41853	66.04358	15018
Qarāwul	37.21959	68.78020	24544
Pul-e Khumrī	35.94458	68.71512	56369
Paghmān	34.58787	68.95091	49157
Nīlī	33.72178	66.13023	30058
Nahrīn	36.06490	69.13343	22363
Maymana	35.92139	64.78361	75900
Mehtar Lām	34.67139	70.20944	17345
Mazār-e Sharīf	36.70904	67.11087	523300
Lashkar Gāh	31.59382	64.37161	43934
Kushk	33.29565	61.95221	16952
Kunduz	36.72895	68.85700	161902
Khōst	33.33951	69.92041	96123
Khulm	36.69736	67.69826	64933
Khāsh	31.52919	62.79055	15133
Khān Neshīn	30.54880	63.78880	25600
Khanabad	36.68304	69.11279	71531
Karukh	34.48108	62.58630	17484
Kandahār	31.61332	65.71013	523300
Kabul	34.52813	69.17233	4434550
Jurm	36.86477	70.83421	23064
Jalālābād	34.42647	70.45153	271900
Jabal os Saraj	35.11833	69.23778	15032
Herāt	34.34817	62.19967	574300
Ghormach	35.73062	63.78264	30000
Ghazni	33.55391	68.42096	141000
Gereshk	31.82089	64.57005	43588
Gardez	33.59744	69.22592	103601
Fayzabad	37.11664	70.58002	44421
Farah	32.37451	62.11638	43561
Istālif	34.83268	69.07756	41413
Eslam Qaleh	34.66667	61.06667	18086
Charikar	35.01361	69.17139	53676
Baraki Barak	33.96744	68.94920	22305
Bāmyān	34.82156	67.82734	61863
Balkh	36.75635	66.89720	114883
Bahārak	37.00254	70.90664	32551
Baghlān	36.13068	68.70829	108449
Ārt Khwājah	37.08571	69.47958	18623
Āsmār	35.03333	71.35809	15708
Asadābād	34.87311	71.14697	48400
Andkhoy	36.95293	65.12376	37900
Bāzārak	35.31292	69.51519	65000
Markaz-e Woluswalī-ye Āchīn	34.12583	70.70778	15098
Saint John’s	17.12096	-61.84329	51737
The Valley	18.21704	-63.05783	2035
Sarandë	39.87534	20.00477	22613
Pogradec	40.90250	20.65250	46070
Librazhd	41.17944	20.31500	23312
Kukës	42.07694	20.42194	36125
Korçë	40.61861	20.78083	58259
Gjirokastër	40.07583	20.13889	23437
Elbasan	41.11138	20.08224	100903
Bulqizë	41.49167	20.22194	26826
Vlorë	40.46960	19.48379	115261
Tirana	41.32744	19.81866	418495
Shkodër	42.06828	19.51258	95553
Rrashbull	41.32278	19.51028	20099
Peqin	41.04611	19.75111	16580
Patos Fshat	40.64278	19.65083	22679
Patos	40.68333	19.61944	16000
Lushnjë	40.94194	19.70500	63135
Lezhë	41.78361	19.64361	18695
Kuçovë	40.80028	19.91667	31077
